episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
1833.554957167058,1833.554957167058,1833.554957167058,1000.0,1,1000,False,1000,1,1,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-05,1582073585,5.089231491088867,5.089231491088867,62524,node26.podcluster,10.1.50.26,5.089231491088867,1000,1,0,26510254,5_model={'custom_model': 'linear'},2.4143432403777862,0.4531127232295293,1.1701352827317946,1.0,1.0,500,0,1000,5.674,nan,nan,0.005,0.0,nan,31.05,4.575,449.1505642281957,449.1505642281957,449.1505642281957,35.0,1,3.697261971942449,0.2916546191199351,3.529124340768588
1833.554957167058,1630.9416494816182,1732.2483033243382,1000.0,1,1000,False,2000,2,2,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-10,1582073590,5.236392974853516,10.325624465942383,62524,node26.podcluster,10.1.50.26,10.325624465942383,2000,2,0,26510254,5_model={'custom_model': 'linear'},2.4536940713389592,0.45883104525301754,1.1621349693657157,0.902,0.902,1000,0,2000,4.368,nan,nan,0.003,0.0,nan,25.071428571428573,4.1,-19.433958170559116,-19.433958170559116,-19.433958170559116,5.0,1,3.766428679227829,0.3459416329860687,3.3581294119358063
1833.554957167058,1630.9416494816182,1732.6102895296078,1000.0,1,1000,False,3000,3,3,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-16,1582073596,5.410346031188965,15.735970497131348,62524,node26.podcluster,10.1.50.26,15.735970497131348,3000,3,0,26510254,5_model={'custom_model': 'linear'},2.4865492766736357,0.46370963167777,1.1614262706292013,0.804,0.804,1500,0,3000,5.229,nan,nan,0.004,0.0,nan,21.5875,3.9,5.123442153909809,5.123442153909809,5.123442153909809,3.0,1,3.783215337724828,0.3717515005994199,3.2675301850731695
1833.554957167058,1630.9416494816182,1731.9882410141017,1000.0,1,1000,False,4000,4,4,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-21,1582073601,5.426816940307617,21.162787437438965,62524,node26.podcluster,10.1.50.26,21.162787437438965,4000,4,0,26510254,5_model={'custom_model': 'linear'},2.5115014010285543,0.4673631894606962,1.1619893522481195,0.706,0.706,2000,0,4000,5.854,nan,nan,0.005,0.0,nan,21.450000000000003,3.9,-7.831645971578894,-7.831645971578894,-7.831645971578894,4.0,1,3.8342710951684227,0.40990533963055675,3.1673438112500687
1833.554957167058,1630.9416494816182,1712.7574779241404,1000.0,1,1000,False,5000,5,5,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-27,1582073607,5.7830564975738525,26.945843935012817,62524,node26.podcluster,10.1.50.26,26.945843935012817,5000,5,0,26510254,5_model={'custom_model': 'linear'},2.5379316727013594,0.47144585625774116,1.1655122580009212,0.608,0.608,2500,0,5000,3.407,nan,nan,0.003,0.0,nan,21.5,3.9,-17.044144160659243,-17.044144160659243,-17.044144160659243,2.0,1,3.811049134763953,0.430900756626913,3.1160753067225624
1733.334261940147,1630.9416494816182,1672.4241163187799,1000.0,1,1000,False,6000,6,6,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-33,1582073613,5.651210069656372,32.59705400466919,62524,node26.podcluster,10.1.50.26,32.59705400466919,6000,6,0,26510254,5_model={'custom_model': 'linear'},2.588912028536324,0.47935416566393096,1.1685635431517427,0.51,0.51,3000,0,6000,4.081,nan,nan,0.004,0.0,nan,21.525,3.9,1.3045800655588549,1.3045800655588549,1.3045800655588549,2.0,1,3.808752695719401,0.45212427775065106,3.0735015869140625
1733.4005792177397,1631.8881491402553,1692.9159022660047,1000.0,1,1000,False,7000,7,7,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-38,1582073618,5.651710033416748,38.24876403808594,62524,node26.podcluster,10.1.50.26,38.24876403808594,7000,7,0,26510254,5_model={'custom_model': 'linear'},2.6288012717470686,0.4857802404318468,1.1751605418427602,0.41200000000000003,0.41200000000000003,3500,0,7000,4.832,nan,nan,0.004,0.0,nan,21.412499999999998,3.9,31.84509249654743,31.84509249654743,31.84509249654743,3.0,1,3.8527617087730994,0.4902497316018129,3.016967039841872
1733.4005792177397,1631.8881491402553,1672.8579859619072,1000.0,1,1000,False,8000,8,8,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-44,1582073624,5.576326370239258,43.825090408325195,62524,node26.podcluster,10.1.50.26,43.825090408325195,8000,8,0,26510254,5_model={'custom_model': 'linear'},2.658950723490806,0.49077149026390765,1.1806081111690343,0.31400000000000006,0.31400000000000006,4000,0,8000,3.778,nan,nan,0.004,0.0,nan,21.5375,3.9,28.296248156000743,28.296248156000743,28.296248156000743,4.0,1,3.8903021230930235,0.5242184894840892,2.9354996797515125
1734.1103449134262,1631.8881491402553,1673.6556358510759,1000.0,1,1000,False,9000,9,9,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-50,1582073630,5.421971082687378,49.24706149101257,62524,node26.podcluster,10.1.50.26,49.24706149101257,9000,9,0,26510254,5_model={'custom_model': 'linear'},2.6817218682937893,0.49475015119733073,1.1849117136745975,0.21599999999999997,0.21599999999999997,4500,0,9000,5.513,nan,nan,0.004,0.0,nan,21.6,3.9,273.6772368719193,273.6772368719193,273.6772368719193,36.0,1,3.9089150347952115,0.44272107593083787,2.441594156168275
1734.1103449134262,1631.8881491402553,1673.2469260106823,1000.0,1,1000,False,10000,10,10,0fd107ce320942998eb258d40c222c77,2020-02-18_16-53-55,1582073635,5.375306129455566,54.62236762046814,62524,node26.podcluster,10.1.50.26,54.62236762046814,10000,10,0,26510254,5_model={'custom_model': 'linear'},2.69230466031892,0.49669613829180986,1.1854199932741722,0.118,0.118,5000,0,10000,5.104,nan,nan,0.004,0.0,nan,21.475,3.9,351.99557384926686,351.99557384926686,351.99557384926686,150.0,1,3.622341511854485,0.2869723448112829,1.740178065513497
